Broad discipline,College/School,Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Physical Sciences,Not applicable,Molecular synthesis,3.50 - 3.77,0.666666667,masked,0.666666667,6,9,4
Physical Sciences,Not applicable,Oceanic and atmospheric sciences,3.20 - 3.84,0.555555556,3.18 - 3.54,0.5,10,18,5
Physical Sciences,Not applicable,Pharmacological chemistry,3.37 - 3.82,0.666666667,3.53 - 3.70,0.318181818,44,66,14
Physical Sciences,Not applicable,Physics,3.39 - 3.85,0.575949367,3.07 - 3.63,0.252747253,91,158,23
Psychology,Not applicable,Business psychology,3.32 - 3.80,0.359223301,3.27 - 3.69,0.27027027,37,103,10
Psychology,Not applicable,Psychology,3.38 - 3.88,0.520474138,3.32 - 3.70,0.322981366,483,928,156
Psychology,Not applicable,Psychology with a specialization in clinical psychology,3.45 - 3.78,0.461538462,3.44 - 3.78,0.433333333,60,130,26
Psychology,Not applicable,Psychology with a specialization in cognitive psychology,3.30 - 3.76,0.526315789,3.41 - 3.86,0.366666667,30,57,11
Psychology,Not applicable,Psychology with a specialization in developmental psychology,3.39 - 3.76,0.555555556,masked,0.2,15,27,3
Psychology,Not applicable,Psychology with a specialization in human health,3.33 - 3.71,0.619047619,3.17 - 3.65,0.461538462,26,42,12
Psychology,Not applicable,Psychology with a specialization in social psychology,3.14 - 3.71,0.555555556,3.15 - 3.59,0.5,30,54,15
Public Health,Not applicable,Global health,3.32 - 3.62,0.631067961,3.23 - 3.55,0.569230769,65,103,37
Public Health,Not applicable,Public health,3.55 - 3.84,0.562874251,3.26 - 3.74,0.361702128,94,167,34
Social Sciences,Not applicable,Anthropology(concentration in sociocultral anthropology),3.37 - 3.85,0.649717514,3.26 - 3.80,0.182608696,115,177,21
Social Sciences,Not applicable,Economics,3.50 - 3.90,0.540217391,3.35 - 3.82,0.345070423,994,1840,343
Social Sciences,Not applicable,Political science,3.46 - 3.88,0.734323432,3.30 - 3.65,0.202247191,445,606,90
Social Sciences,Not applicable,Political science - american politics,3.40 - 3.84,0.654545455,3.26 - 3.58,0.305555556,36,55,11
Social Sciences,Not applicable,Political science - comparative politics,3.50 - 3.94,0.684210526,masked,0.230769231,13,19,3
Social Sciences,Not applicable,Political science - international relations,3.42 - 3.87,0.67,3.19 - 3.64,0.335820896,134,200,45
Social Sciences,Not applicable,Political science - public law,3.30 - 3.76,0.656441718,3.22 - 3.57,0.317757009,107,163,34
Social Sciences,Not applicable,Political science - public policy,3.40 - 3.92,0.6125,3.33 - 3.68,0.163265306,49,80,8
Social Sciences,Not applicable,Political science/data analytics,3.47 - 3.67,0.827586207,3.46 - 3.59,0.458333333,24,29,11
Social Sciences,Not applicable,Sociology,3.36 - 3.85,0.608521971,3.23 - 3.65,0.153172867,457,751,70
Social Sciences,Not applicable,Sociology - culture and communications,3.29 - 3.75,0.5,masked,0.148148148,27,54,4
Social Sciences,Not applicable,Sociology - economy and society,3.33 - 3.82,0.477272727,3.52 - 3.80,0.333333333,21,44,7
Social Sciences,Not applicable,Sociology - international studies,3.29 - 3.77,0.535714286,masked,0.266666667,15,28,4
Social Sciences,Not applicable,Sociology - law and society,3.37 - 3.86,0.556701031,3.17 - 3.51,0.203703704,108,194,22
Social Sciences,Not applicable,Sociology - science and medicine,3.31 - 3.79,0.75,3.19 - 3.38,0.303030303,33,44,10
Social Sciences,Not applicable,Sociology - social inequality,3.26 - 3.74,0.688888889,3.22 - 3.39,0.322580645,31,45,10
Social Sciences,Not applicable,Urban studies & planning,3.42 - 3.79,0.636363636,3.39 - 3.70,0.222222222,63,99,14
