Broad discipline,College/School,Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Public Health,Not applicable,Global health,3.38 - 3.80,0.71875,3.30 - 3.76,0.623188406,69,96,43
Public Health,Not applicable,Public health,3.41 - 3.82,0.661764706,3.32 - 3.76,0.36,225,340,81
Social Sciences,Not applicable,Anthropology with concentration in climate change and human solutions,3.65 - 3.89,0.62962963,3.14 - 3.80,0.294117647,17,27,5
Social Sciences,Not applicable,Anthropology(concentration in sociocultral anthropology),3.46 - 3.92,0.625,3.24 - 3.85,0.129411765,85,136,11
Social Sciences,Not applicable,Biological anthropology,3.33 - 3.74,0.714285714,3.38 - 3.80,0.2,35,49,7
Social Sciences,Not applicable,Economics,3.57 - 3.93,0.581800099,3.47 - 3.86,0.302564103,1170,2011,354
Social Sciences,Not applicable,Political science,3.52 - 3.91,0.64498645,3.41 - 3.81,0.178571429,476,738,85
Social Sciences,Not applicable,Political science - american politics,3.65 - 3.90,0.534883721,3.81 - 3.89,0.260869565,23,43,6
Social Sciences,Not applicable,Political science - international relations,3.50 - 3.90,0.646258503,3.33 - 3.74,0.315789474,95,147,30
Social Sciences,Not applicable,Political science - political theory,3.55 - 4.00,0.529411765,masked,0.333333333,9,17,3
Social Sciences,Not applicable,Political science - public law,3.44 - 3.92,0.546961326,3.42 - 3.89,0.262626263,99,181,26
Social Sciences,Not applicable,Political science - public policy,3.37 - 3.89,0.59375,3.24 - 3.80,0.236842105,38,64,9
Social Sciences,Not applicable,"Political science /race, ethnicity and politics",3.37 - 3.76,0.7,3.25 - 3.47,0.357142857,14,20,5
Social Sciences,Not applicable,Political science/data analytics,3.52 - 3.92,0.681818182,3.48 - 3.83,0.3,30,44,9
Social Sciences,Not applicable,Sociology,3.47 - 3.90,0.625149701,3.34 - 3.73,0.185823755,522,835,97
Social Sciences,Not applicable,Sociology - culture and communications,3.40 - 3.80,0.466666667,3.32 - 3.57,0.285714286,21,45,6
Social Sciences,Not applicable,Sociology - economy and society,3.39 - 3.85,0.675,3.33 - 3.73,0.296296296,27,40,8
Social Sciences,Not applicable,Sociology - law and society,3.48 - 3.90,0.533333333,3.40 - 3.79,0.125,112,210,14
Social Sciences,Not applicable,Sociology - science and medicine,3.33 - 3.76,0.596153846,3.45 - 3.66,0.258064516,31,52,8
Social Sciences,Not applicable,Urban studies & planning,3.29 - 3.84,0.757894737,3.18 - 3.60,0.25,72,95,18
