Broad discipline,College/School,Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Mathematics,Not applicable,Mathematics,3.40 - 3.84,0.584313725,3.19 - 3.62,0.268456376,149,255,40
Mathematics,Not applicable,Mathematics - applied science,3.50 - 3.80,0.454545455,3.52 - 3.80,0.333333333,15,33,5
Mathematics,Not applicable,Mathematics/economics,3.66 - 3.92,0.461538462,3.53 - 3.81,0.202380952,84,182,17
Mathematics,Not applicable,Probability and statistics,3.52 - 3.98,0.59798995,3.32 - 3.66,0.151260504,119,199,18
Physical Sciences,Not applicable,Chemistry,3.31 - 3.83,0.579710145,3.20 - 3.68,0.29375,160,276,47
Physical Sciences,Not applicable,Chemistry - biochemistry,3.39 - 3.82,0.619047619,3.25 - 3.58,0.423076923,104,168,44
Physical Sciences,Not applicable,Earth sciences,3.20 - 3.61,0.702702703,3.16 - 3.58,0.346153846,26,37,9
Physical Sciences,Not applicable,Natural sciences,3.32 - 3.72,0.410714286,masked,0.173913043,23,56,4
Physical Sciences,Not applicable,Pharmacological chemistry,3.36 - 3.82,0.588888889,3.17 - 3.57,0.377358491,53,90,20
Physical Sciences,Not applicable,Physics,3.38 - 3.91,0.532374101,3.11 - 3.54,0.189189189,74,139,14
Psychology,Not applicable,Psychology,3.32 - 3.85,0.549242424,3.23 - 3.65,0.298850575,435,792,130
Psychology,Not applicable,Psychology with a specialization in clinical psychology,3.23 - 3.76,0.4,3.10 - 3.61,0.333333333,42,105,14
Psychology,Not applicable,Psychology with a specialization in cognitive psychology,3.31 - 3.72,0.428571429,3.18 - 3.64,0.4,15,35,6
Psychology,Not applicable,Psychology with a specialization in developmental psychology,3.32 - 3.68,0.361111111,masked,0.230769231,13,36,3
Psychology,Not applicable,Psychology with a specialization in human health,3.23 - 3.57,0.477272727,3.24 - 3.46,0.285714286,21,44,6
Psychology,Not applicable,Psychology with a specialization in social psychology,3.14 - 3.85,0.360655738,3.13 - 3.87,0.454545455,22,61,10
Public Health,Not applicable,Global health,3.08 - 3.66,0.76056338,3.08 - 3.56,0.481481481,54,71,26
Public Health,Not applicable,Public health,3.50 - 3.83,0.509202454,3.43 - 3.76,0.277108434,83,163,23
Social Sciences,Not applicable,Anthropology,3.14 - 3.73,0.737704918,3.13 - 3.50,0.281481481,135,183,38
Social Sciences,Not applicable,Anthropology(concentration in sociocultral anthropology),3.24 - 3.78,0.767955801,3.10 - 3.60,0.215827338,139,181,30
Social Sciences,Not applicable,Economics,3.52 - 3.92,0.529320187,3.39 - 3.83,0.28627451,1020,1927,292
Social Sciences,Not applicable,Political science,3.24 - 3.80,0.773512476,3.11 - 3.58,0.260545906,403,521,105
Social Sciences,Not applicable,Political science - american politics,3.21 - 3.66,0.727272727,3.01 - 3.35,0.28125,32,44,9
Social Sciences,Not applicable,Political science - international relations,3.23 - 3.78,0.723300971,3.12 - 3.53,0.315436242,149,206,47
Social Sciences,Not applicable,Political science - political theory,3.46 - 3.75,0.80952381,masked,0.176470588,17,21,3
Social Sciences,Not applicable,Political science - public law,3.21 - 3.72,0.652892562,3.21 - 3.44,0.253164557,79,121,20
Social Sciences,Not applicable,Political science - public policy,3.19 - 3.79,0.75,2.89 - 3.47,0.203703704,54,72,11
Social Sciences,Not applicable,Sociology,3.21 - 3.81,0.73046252,3.00 - 3.51,0.198689956,458,627,91
Social Sciences,Not applicable,Sociology - culture and communications,3.26 - 3.75,0.661290323,2.99 - 3.32,0.170731707,41,62,7
Social Sciences,Not applicable,Sociology - economy and society,3.09 - 3.69,0.727272727,3.35 - 3.55,0.21875,32,44,7
Social Sciences,Not applicable,Sociology - international studies,3.43 - 3.89,0.727272727,3.36 - 3.67,0.3125,16,22,5
Social Sciences,Not applicable,Sociology - law and society,3.20 - 3.70,0.661764706,3.22 - 3.74,0.2,90,136,18
Social Sciences,Not applicable,Sociology - science and medicine,3.13 - 3.71,0.804347826,3.07 - 3.66,0.405405405,37,46,15
Social Sciences,Not applicable,Sociology - social inequality,3.26 - 3.65,0.641025641,masked,0.12,25,39,3
Social Sciences,Not applicable,Urban studies & planning,3.24 - 3.80,0.641025641,2.81 - 3.34,0.22,50,78,11
